 FIPS Code ,  Area Name  ,1975,1976,1977,1978,1979
13000, Georgia  ,5058000,5126000,5212000,5286000,5391000
13001, Appling  ,14800,15200,15500,15500,15200
13003, Atkinson  ,6000,6100,6100,6200,6100
13005, Bacon  ,9100,9200,9400,9300,9200
13007, Baker  ,3700,3800,3800,3900,3800
13009, Baldwin  ,35700,34600,34800,33800,34500
13011, Banks  ,7400,7600,8100,8200,8400
13013, Barrow  ,19600,19700,20000,20300,20900
13015, Bartow  ,37800,38300,39100,39300,40000
13017, Ben Hill  ,14400,14500,14900,15200,15500
13019, Berrien  ,12700,13000,13300,13600,13600
13021, Bibb  ,149100,148800,150700,151300,151100
13023, Bleckley  ,10700,10800,10700,10800,10900
13025, Brantley  ,7000,7200,7200,7300,7700
13027, Brooks  ,14600,14800,14400,14300,15100
13029, Bryan  ,8400,8700,8800,9100,9700
13031, Bulloch  ,32700,33400,33900,34300,35400
13033, Burke  ,18700,18700,19300,19400,19200
13035, Butts  ,12700,13000,13100,13500,13700
13037, Calhoun  ,6300,6200,6100,6000,5900
13039, Camden  ,11400,11300,11200,11000,12400
13043, Candler  ,7000,7100,7200,7300,7300
13045, Carroll  ,54100,54800,55000,55100,55900
13047, Catoosa  ,31800,32900,33600,34600,35600
13049, Charlton  ,6800,7100,7200,7500,7400
13051, Chatham  ,188500,194100,199400,199700,201700
13053, Chattahoochee  ,17400,19500,16400,22400,21900
13055, Chattooga  ,22300,22300,22500,22000,22000
13057, Cherokee  ,40600,42600,44300,45800,49100
13059, Clarke  ,74100,71300,71300,71600,72600
13061, Clay  ,3500,3600,3600,3600,3600
13063, Clayton  ,134200,136400,140700,143500,148500
13065, Clinch  ,6500,6600,6500,6500,6600
13067, Cobb  ,249600,256500,265800,275800,287300
13069, Coffee  ,25800,26000,25900,25900,26500
13071, Colquitt  ,34200,34000,34300,34300,35000
13073, Columbia  ,29800,32500,34200,35300,38700
13075, Cook  ,12900,13000,13000,13200,13300
13077, Coweta  ,36200,36500,36800,37300,38200
13079, Crawford  ,6700,6900,7000,7300,7500
13081, Crisp  ,19600,19500,19400,19400,19700
13083, Dade  ,11700,11700,11800,11800,12200
13085, Dawson  ,4000,4200,4400,4500,4700
13087, Decatur  ,24300,24700,24800,24700,25100
13089, DeKalb  ,477900,479600,487800,488500,480200
13091, Dodge  ,16800,17000,17000,17100,16800
13093, Dooly  ,10900,10900,11100,11100,10900
13095, Dougherty  ,93000,94900,97000,97700,99400
13097, Douglas  ,45800,47400,48400,50800,53400
13099, Early  ,12800,12900,12900,12900,13000
13101, Echols  ,2100,2100,2200,2200,2400
13103, Effingham  ,15700,15900,16500,17300,18000
13105, Elbert  ,18000,17900,18300,18300,18400
13107, Emanuel  ,20100,20400,20600,20800,20700
