 FIPS Code , Area Name ,1980,1981,1982,1983,1984
13000, Georgia ,5462989,5568346,5649788,5728248,5834943
13001, Appling   ,15565,15362,15601,15787,15977
13003, Atkinson   ,6141,6180,6177,6132,6196
13005, Bacon   ,9379,9477,9577,9648,9734
13007, Baker   ,3808,3796,3916,3870,3779
13009, Baldwin   ,34686,35366,36758,37242,37478
13011, Banks   ,8702,8719,8927,9023,9283
13013, Barrow   ,21354,21952,22371,23046,23872
13015, Bartow   ,40760,41391,42427,43366,44418
13017, Ben Hill   ,16000,16254,16361,16383,16519
13019, Berrien   ,13525,13713,13798,13850,13968
13021, Bibb   ,150256,150970,151671,152557,152467
13023, Bleckley   ,10767,10859,10776,10725,10684
13025, Brantley   ,8701,8933,9191,9222,9497
13027, Brooks   ,15255,15290,15455,15518,15489
13029, Bryan   ,10175,10569,10569,10979,11222
13031, Bulloch   ,35785,36717,37277,37682,37755
13033, Burke   ,19349,19611,19912,20510,20419
13035, Butts   ,13665,13717,14598,14412,14410
13037, Calhoun   ,5717,5737,5672,5596,5520
13039, Camden   ,13371,14707,16093,16971,17797
13043, Candler   ,7518,7504,7610,7636,7609
13045, Carroll   ,56346,57818,59634,61069,62069
13047, Catoosa   ,36991,37537,37943,38074,38490
13049, Charlton   ,7343,7419,7554,7659,7892
13051, Chatham   ,202226,205910,209224,209381,210545
13053, Chattahoochee   ,21732,19927,21329,20551,20044
13055, Chattooga   ,21856,21892,21732,21690,21814
13057, Cherokee   ,51699,54327,56171,58695,61861
13059, Clarke   ,74498,77033,77682,78923,80032
13061, Clay   ,3553,3554,3526,3479,3513
13063, Clayton   ,150357,154521,155788,157971,160740
13065, Clinch   ,6660,6690,6599,6601,6604
13067, Cobb   ,297718,311490,321994,336050,353206
13069, Coffee   ,26894,27095,27360,27611,27887
13071, Colquitt   ,35376,35770,36205,36238,36445
13073, Columbia   ,40118,41797,43509,45704,48547
13075, Cook   ,13490,13561,13651,13570,13577
13077, Coweta   ,39268,40282,40933,41567,42698
13079, Crawford   ,7684,7340,7393,7484,7688
13081, Crisp   ,19489,19773,19994,19966,19974
13083, Dade   ,12318,12172,12207,12145,12277
13085, Dawson   ,4774,5019,5261,5665,6167
13087, Decatur   ,25495,25820,25899,25674,25848
13089, DeKalb   ,483024,487438,492317,499706,507335
13091, Dodge   ,16955,17086,17063,17251,17261
13093, Dooly   ,10826,10897,10714,10617,10630
13095, Dougherty   ,100710,101986,102359,101908,101568
13097, Douglas   ,54573,55919,57293,58781,60578
13099, Early   ,13158,13133,13051,12866,12836
13101, Echols   ,2297,2225,2177,2175,2250
13103, Effingham   ,18327,18623,19321,19994,20696
13105, Elbert   ,18758,18954,18991,18923,18963
13107, Emanuel   ,20795,20957,20885,20826,20904
13109, Evans   ,8428,8575,8546,8547,8466
13111, Fannin   ,14748,14824,14899,14995,15091
13113, Fayette   ,29043,31464,33701,36410,40034
13115, Floyd   ,79800,79948,79897,79163,79223
13117, Forsyth   ,27958,28788,29596,30373,31771
13119, Franklin   ,15185,15438,15495,15659,15664
