FIPS Code,Area Name,1985,1986,1987,1988,1989
13000,Georgia,5962639,6084645,6208479,6316139,6411117
13001,Appling  ,15857,15745,15719,15814,15749
13003,Atkinson  ,6332,6373,6298,6265,6231
13005,Bacon  ,9718,9732,9884,9701,9620
13007,Baker  ,3827,3793,3783,3690,3647
13009,Baldwin  ,38241,38520,38897,39345,39465
13011,Banks  ,9473,9640,9928,10155,10155
13013,Barrow  ,24757,25781,26574,27376,28656
13015,Bartow  ,45973,48223,50623,52535,54413
13017,Ben Hill  ,16784,16712,16690,16663,16482
13019,Berrien  ,13955,13818,14102,14160,14200
13021,Bibb  ,151974,151310,150888,151281,150797
13023,Bleckley  ,10613,10424,10406,10337,10342
13025,Brantley  ,9705,10158,10399,10587,10873
13027,Brooks  ,15472,15448,15458,15523,15521
13029,Bryan  ,11650,12299,13227,14173,14786
13031,Bulloch  ,38600,39348,40363,41210,42320
13033,Burke  ,20796,21282,20905,20982,20767
13035,Butts  ,14550,14710,15275,15334,15241
13037,Calhoun  ,5477,5397,5228,5131,5046
13039,Camden  ,18530,20309,22003,23906,27841
13043,Candler  ,7560,7502,7530,7581,7616
13045,Carroll  ,63609,65134,67412,69289,70181
13047,Catoosa  ,39332,39633,40551,41360,41981
13049,Charlton  ,7920,8060,8357,8399,8502
13051,Chatham  ,211565,212854,215015,216061,215986
13053,Chattahoochee  ,19408,18539,18186,18433,17469
13055,Chattooga  ,21798,21885,22001,22155,22295
13057,Cherokee  ,66476,71560,77813,82872,87048
13059,Clarke  ,81146,81673,83102,84668,86518
13061,Clay  ,3509,3414,3383,3421,3426
13063,Clayton  ,164026,167497,170945,174611,179221
13065,Clinch  ,6575,6546,6495,6276,6233
13067,Cobb  ,372905,392568,411475,428287,439006
13069,Coffee  ,28337,29027,29116,29182,29403
13071,Colquitt  ,36500,36709,36987,36915,36681
13073,Columbia  ,51891,55600,58489,60746,63236
13075,Cook  ,13634,13570,13613,13635,13567
13077,Coweta  ,44426,45792,47549,49765,51796
13079,Crawford  ,7833,8093,8339,8581,8826
13081,Crisp  ,20139,19984,20100,20074,20206
13083,Dade  ,12302,12527,12599,12722,13024
13085,Dawson  ,6782,7325,8050,8624,9027
13087,Decatur  ,25914,25740,25581,25591,25591
13089,DeKalb  ,518161,526966,533263,538476,542787
13091,Dodge  ,17346,17349,17218,17317,17537
13093,Dooly  ,10527,10359,10117,10020,9901
13095,Dougherty  ,101917,100808,99692,98595,97410
13097,Douglas  ,62270,64684,66772,68812,70139
13099,Early  ,12743,12505,12269,12058,12019
13101,Echols  ,2320,2320,2266,2298,2275
13103,Effingham  ,21391,22212,22974,23827,24703
13105,Elbert  ,18896,18914,18889,18959,19020
13107,Emanuel  ,20936,20924,20771,20671,20641
13109,Evans  ,8337,8303,8426,8551,8654
13111,Fannin  ,15356,15449,15742,15815,15860
13113,Fayette  ,43627,47668,51940,56070,59614
