County,State,"April 1, 1990 Population Estimates Base","July 1, 1990 Estimate",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
,Georgia,"6,478,149","6,512,602","6,653,005","6,817,203","6,978,240","7,157,165","7,328,413","7,501,069","7,685,099","7,863,536","8,045,965","8,186,453"
Appling,Georgia,"15,744","15,776","16,020","16,172","16,273","16,323","16,540","16,728","16,892","17,116","17,323","17,419"
Atkinson,Georgia,"6,213","6,223","6,240","6,330","6,579","6,718","6,914","7,160","7,373","7,408","7,575","7,609"
Bacon,Georgia,"9,566","9,570","9,557","9,700","9,944","10,138","10,154","10,131","10,036","10,053","10,053","10,103"
Baker,Georgia,"3,615","3,617","3,741","3,722","3,871","3,876","3,987","3,980","4,056","4,003","4,089","4,074"
Baldwin,Georgia,"39,530","39,627","40,252","40,895","41,759","42,089","42,709","43,223","43,721","43,968","44,440","44,700"
Banks,Georgia,"10,308","10,379","10,541","10,865","11,069","11,371","11,943","12,429","13,162","13,608","14,037","14,422"
Barrow,Georgia,"29,721","30,106","31,341","32,525","33,911","35,480","37,046","39,111","40,938","42,812","44,615","46,144"
Bartow,Georgia,"55,915","56,360","57,961","59,241","59,723","61,261","63,334","65,869","68,772","71,457","74,128","76,019"
Ben Hill,Georgia,"16,245","16,217","16,576","16,645","16,784","17,104","17,349","17,377","17,434","17,498","17,516","17,484"
Berrien,Georgia,"14,153","14,153","14,209","14,320","14,611","14,958","15,245","15,423","15,587","15,914","16,086","16,235"
Bibb,Georgia,"150,137","150,268","151,442","151,866","153,382","153,998","153,911","154,551","155,489","155,077","154,254","153,887"
Bleckley,Georgia,"10,430","10,463","10,575","10,639","10,736","10,846","11,090","11,061","11,273","11,385","11,573","11,666"
Brantley,Georgia,"11,077","11,120","11,269","11,624","11,974","12,500","12,830","13,174","13,591","13,914","14,369","14,629"
Brooks,Georgia,"15,398","15,383","15,510","15,489","15,840","15,732","15,935","15,918","16,024","16,142","16,379","16,450"
Bryan,Georgia,"15,438","15,643","16,242","17,269","18,457","19,493","20,546","21,445","22,200","22,330","23,150","23,417"
Bulloch,Georgia,"43,125","43,412","44,682","46,254","47,878","49,476","50,646","52,009","53,147","54,354","55,183","55,983"
Burke,Georgia,"20,579","20,514","20,465","20,717","20,976","21,023","21,083","21,158","21,641","21,867","22,156","22,243"
Butts,Georgia,"15,326","15,421","15,600","15,763","16,041","15,867","16,312","16,890","17,653","18,299","18,927","19,522"
Calhoun,Georgia,"5,013","5,028","5,123","5,116","5,349","5,440","5,541","5,671","5,976","6,051","6,176","6,320"
Camden,Georgia,"30,167","30,734","33,836","36,925","38,690","39,875","39,105","40,954","43,115","44,409","43,574","43,664"
Candler,Georgia,"7,744","7,790","8,004","8,142","8,437","8,682","8,881","8,975","9,301","9,621","9,530","9,577"
Carroll,Georgia,"71,422","71,875","72,988","73,877","74,981","76,604","78,097","79,774","81,405","83,187","85,082","87,268"
Catoosa,Georgia,"42,464","42,693","43,330","44,240","45,275","46,368","47,901","48,292","49,414","50,740","52,118","53,282"
Charlton,Georgia,"8,496","8,511","8,687","8,968","9,292","9,519","9,586","9,773","9,843","10,103","10,258","10,282"
Chatham,Georgia,"216,774","217,531","220,041","223,448","225,968","228,265","229,466","229,736","230,514","230,831","231,630","232,048"
Chattahoochee,Georgia,"16,934","16,729","14,940","15,932","15,284","14,809","14,845","14,841","14,835","14,714","14,781","14,882"
