,April 1 Census 2010,April 1 Estimates Base 2010,July 1 2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Georgia,"9,687,653","9,688,729","9,711,881","9,802,431","9,901,430","9,972,479","10,067,278","10,178,447","10,301,890","10,410,330","10,511,131","10,617,423"
".Appling County, Georgia","18,236","18,238","18,334","18,459","18,385","18,370","18,472","18,423","18,428","18,438","18,526","18,386"
".Atkinson County, Georgia","8,375","8,380","8,364","8,360","8,255","8,264","8,215","8,340","8,244","8,182","8,262","8,165"
".Bacon County, Georgia","11,096","11,097","11,062","11,145","11,150","11,173","11,178","11,231","11,275","11,205","11,132","11,164"
".Baker County, Georgia","3,451","3,447","3,431","3,311","3,372","3,348","3,288","3,194","3,183","3,159","3,086","3,038"
".Baldwin County, Georgia","45,720","45,840","45,704","45,175","46,510","46,178","45,910","45,549","45,259","44,963","44,893","44,890"
".Banks County, Georgia","18,395","18,379","18,410","18,249","18,131","18,221","18,226","18,381","18,325","18,628","18,972","19,234"
".Barrow County, Georgia","69,367","69,356","69,676","69,844","70,135","71,239","72,849","74,979","77,000","78,899","80,834","83,240"
".Bartow County, Georgia","100,157","100,092","100,050","100,116","100,240","100,917","101,233","102,043","103,338","105,098","106,378","107,738"
".Ben Hill County, Georgia","17,634","17,660","17,645","17,591","17,601","17,450","17,449","17,357","17,251","17,037","16,822","16,700"
".Berrien County, Georgia","19,286","19,293","19,361","19,378","19,160","19,059","18,813","18,991","18,996","19,108","19,266","19,397"
".Bibb County, Georgia","155,547","155,783","155,814","156,211","156,606","155,031","154,329","153,945","153,152","152,840","152,903","153,159"
".Bleckley County, Georgia","13,063","13,064","13,036","13,082","12,890","12,744","12,713","12,714","12,864","12,764","12,821","12,873"
".Brantley County, Georgia","18,411","18,428","18,479","18,561","18,532","18,257","18,366","18,437","18,415","18,832","18,985","19,109"
".Brooks County, Georgia","16,243","16,314","16,246","15,982","15,617","15,649","15,526","15,670","15,725","15,617","15,479","15,457"
".Bryan County, Georgia","30,233","30,215","30,377","31,267","32,251","33,034","33,664","34,792","35,839","36,999","38,059","39,627"
".Bulloch County, Georgia","70,217","70,243","70,559","72,637","73,102","71,816","72,651","73,116","74,642","75,991","77,242","79,608"
".Burke County, Georgia","23,316","23,326","23,336","23,506","23,048","22,824","22,621","22,632","22,601","22,545","22,439","22,383"
".Butts County, Georgia","23,655","23,695","23,786","23,609","23,438","23,218","23,341","23,520","23,736","24,067","24,192","24,936"
".Calhoun County, Georgia","6,694","6,697","6,697","6,625","6,565","6,596","6,506","6,534","6,359","6,389","6,353","6,189"
".Camden County, Georgia","50,513","50,512","50,661","50,303","51,351","51,404","51,909","52,439","52,394","53,005","53,651","54,666"
".Candler County, Georgia","10,998","10,999","11,025","11,209","11,102","10,960","10,865","10,873","10,849","10,706","10,827","10,803"
".Carroll County, Georgia","110,527","110,570","110,655","110,728","111,412","112,265","113,933","114,461","116,077","117,390","117,997","119,992"
".Catoosa County, Georgia","63,942","63,925","64,069","64,753","64,864","65,221","65,467","65,778","66,265","66,495","67,380","67,580"
".Charlton County, Georgia","12,171","12,171","12,853","13,455","13,348","13,107","13,051","13,239","12,842","12,810","12,919","13,392"
".Chatham County, Georgia","265,128","265,127","265,799","271,623","276,164","277,650","282,201","285,959","288,615","289,309","289,166","289,430"
".Chattahoochee County, Georgia","11,267","11,263","11,182","11,257","12,265","12,245","11,696","11,042","10,047","10,205","10,600","10,907"
".Chattooga County, Georgia","26,015","26,022","25,959","25,685","25,627","25,049","24,861","24,905","24,836","24,746","24,782","24,789"
".Cherokee County, Georgia","214,346","214,381","215,197","217,732","220,643","224,314","230,167","235,329","241,795","247,763","253,914","258,773"
".Clarke County, Georgia","116,714","116,688","117,403","118,229","119,891","120,888","120,386","123,561","124,905","126,815","127,268","128,331"
".Clay County, Georgia","3,183","3,186","3,177","3,162","3,106","3,015","3,072","3,077","3,005","2,955","2,884","2,834"
".Clayton County, Georgia","259,424","259,630","259,877","262,031","265,294","264,015","266,629","272,720","279,333","284,184","289,197","292,256"
".Clinch County, Georgia","6,798","6,792","6,764","6,718","6,690","6,758","6,781","6,826","6,742","6,643","6,603","6,618"
".Cobb County, Georgia","688,078","688,065","689,495","696,507","706,322","716,017","727,543","739,052","748,178","752,649","756,070","760,141"
".Coffee County, Georgia","42,356","42,347","42,728","42,996","43,124","43,078","42,884","42,987","42,908","42,880","43,055","43,273"
".Colquitt County, Georgia","45,498","45,496","45,634","45,772","46,013","46,126","45,864","45,466","45,429","45,480","45,455","45,600"
".Columbia County, Georgia","124,053","124,016","124,955","128,804","132,541","136,141","139,104","143,837","147,370","151,529","154,077","156,714"
".Cook County, Georgia","17,212","17,207","17,185","17,033","16,904","17,051","17,297","17,070","17,162","17,213","17,171","17,270"
".Coweta County, Georgia","127,317","127,369","127,937","129,374","130,593","132,944","135,140","138,145","140,497","143,153","145,998","148,509"
".Crawford County, Georgia","12,630","12,601","12,587","12,585","12,579","12,483","12,401","12,354","12,268","12,263","12,334","12,404"
".Crisp County, Georgia","23,439","23,433","23,433","23,753","23,589","23,298","23,061","22,959","22,905","22,710","22,617","22,372"
".Dade County, Georgia","16,633","16,643","16,630","16,600","16,518","16,453","16,289","16,162","16,224","16,254","16,227","16,116"
".Dawson County, Georgia","22,330","22,382","22,328","22,340","22,513","22,732","23,022","23,369","23,668","24,406","25,127","26,108"
".Decatur County, Georgia","27,842","27,842","27,817","27,651","27,442","27,391","27,167","27,049","26,679","26,706","26,573","26,404"
".DeKalb County, Georgia","691,893","691,961","692,443","698,329","710,557","717,740","724,892","734,434","746,802","751,176","754,906","759,297"
".Dodge County, Georgia","21,796","21,796","21,761","21,614","21,517","21,429","21,173","21,142","20,854","20,749","20,793","20,605"
".Dooly County, Georgia","14,918","14,925","14,854","14,612","14,415","14,372","14,246","14,034","13,853","13,691","13,709","13,390"
".Dougherty County, Georgia","94,565","94,564","94,513","95,063","94,694","93,411","92,742","91,513","90,389","89,457","89,200","87,956"
".Douglas County, Georgia","132,403","132,282","132,573","133,106","133,555","136,024","138,007","140,173","141,664","143,376","145,024","146,343"
".Early County, Georgia","11,008","11,008","10,983","10,790","10,640","10,540","10,450","10,462","10,306","10,317","10,286","10,190"
".Echols County, Georgia","4,034","4,023","4,015","4,064","3,967","3,993","4,032","4,030","3,956","3,914","4,000","4,006"
".Effingham County, Georgia","52,250","52,255","52,464","52,692","53,330","54,419","55,410","57,076","58,699","60,086","62,228","64,296"
".Elbert County, Georgia","20,166","20,164","20,100","19,820","19,576","19,490","19,387","19,302","19,136","19,102","19,095","19,194"
".Emanuel County, Georgia","22,598","22,596","22,607","22,492","22,732","22,631","22,482","22,471","22,406","22,533","22,607","22,646"
".Evans County, Georgia","11,000","11,002","11,021","10,980","10,678","10,794","10,811","10,690","10,648","10,741","10,702","10,654"
".Fannin County, Georgia","23,682","23,709","23,685","23,648","23,615","23,831","23,863","24,442","25,032","25,332","25,981","26,188"
".Fayette County, Georgia","106,567","106,560","106,938","107,156","107,315","108,054","109,199","110,141","111,218","112,553","113,181","114,421"
".Floyd County, Georgia","96,317","96,314","96,431","96,161","95,940","95,880","95,868","96,186","96,698","97,500","97,964","98,498"
".Forsyth County, Georgia","175,511","175,484","176,723","181,794","186,793","193,801","202,598","211,250","220,481","228,940","236,993","244,252"
".Franklin County, Georgia","22,084","22,093","22,074","21,972","21,916","22,045","22,175","22,267","22,316","22,864","23,034","23,349"
