GEO.id2,GEO.display-label,respop72013
Id2,Geography,Population Estimate (as of July 1) - 2013
13001,"Appling County, Georgia",18375
13003,"Atkinson County, Georgia",8266
13005,"Bacon County, Georgia",11168
13007,"Baker County, Georgia",3351
13009,"Baldwin County, Georgia",46180
13011,"Banks County, Georgia",18217
13013,"Barrow County, Georgia",71240
13015,"Bartow County, Georgia",100971
13017,"Ben Hill County, Georgia",17429
13019,"Berrien County, Georgia",19059
13021,"Bibb County, Georgia",155036
13023,"Bleckley County, Georgia",12740
13025,"Brantley County, Georgia",18241
13027,"Brooks County, Georgia",15654
13029,"Bryan County, Georgia",33035
13031,"Bulloch County, Georgia",71833
13033,"Burke County, Georgia",22812
13035,"Butts County, Georgia",23194
13037,"Calhoun County, Georgia",6596
13039,"Camden County, Georgia",51403
13043,"Candler County, Georgia",10953
13045,"Carroll County, Georgia",112276
13047,"Catoosa County, Georgia",65228
13049,"Charlton County, Georgia",13109
13051,"Chatham County, Georgia",277631
13053,"Chattahoochee County, Georgia",12254
13055,"Chattooga County, Georgia",25040
13057,"Cherokee County, Georgia",224336
13059,"Clarke County, Georgia",120905
13061,"Clay County, Georgia",3014
13063,"Clayton County, Georgia",264033
13065,"Clinch County, Georgia",6762
13067,"Cobb County, Georgia",716162
13069,"Coffee County, Georgia",43092
13071,"Colquitt County, Georgia",46150
13073,"Columbia County, Georgia",136178
13075,"Cook County, Georgia",17051
13077,"Coweta County, Georgia",132937
13079,"Crawford County, Georgia",12514
13081,"Crisp County, Georgia",23294
13083,"Dade County, Georgia",16448
13085,"Dawson County, Georgia",22683
13087,"Decatur County, Georgia",27398
13089,"DeKalb County, Georgia",717736
13091,"Dodge County, Georgia",21428
13093,"Dooly County, Georgia",14370
13095,"Dougherty County, Georgia",93391
13097,"Douglas County, Georgia",136058
13099,"Early County, Georgia",10537
13101,"Echols County, Georgia",3996
13103,"Effingham County, Georgia",54428
13105,"Elbert County, Georgia",19487
13107,"Emanuel County, Georgia",22634
13109,"Evans County, Georgia",10796
13111,"Fannin County, Georgia",23821
13113,"Fayette County, Georgia",108063
13115,"Floyd County, Georgia",95885
13117,"Forsyth County, Georgia",193852
13119,"Franklin County, Georgia",22043
13121,"Fulton County, Georgia",981562
13123,"Gilmer County, Georgia",28696
13125,"Glascock County, Georgia",3055
13127,"Glynn County, Georgia",81494
13129,"Gordon County, Georgia",55731
13131,"Grady County, Georgia",25098
13133,"Greene County, Georgia",16248
13135,"Gwinnett County, Georgia",853758
13137,"Habersham County, Georgia",43177
13139,"Hall County, Georgia",186486
13141,"Hancock County, Georgia",8955
13143,"Haralson County, Georgia",28336
13145,"Harris County, Georgia",32539
13147,"Hart County, Georgia",25465
13149,"Heard County, Georgia",11561
13151,"Henry County, Georgia",210086
13153,"Houston County, Georgia",147639
13155,"Irwin County, Georgia",9365
13157,"Jackson County, Georgia",61271
13159,"Jasper County, Georgia",13604
13161,"Jeff Davis County, Georgia",15050
13163,"Jefferson County, Georgia",16251
13165,"Jenkins County, Georgia",9200
13167,"Johnson County, Georgia",9900
13169,"Jones County, Georgia",28572
13171,"Lamar County, Georgia",17924
13173,"Lanier County, Georgia",10408
13175,"Laurens County, Georgia",47760
13177,"Lee County, Georgia",29043
13179,"Liberty County, Georgia",62350
13181,"Lincoln County, Georgia",7733
13183,"Long County, Georgia",16469
13185,"Lowndes County, Georgia",112886
13187,"Lumpkin County, Georgia",30894
13189,"McDuffie County, Georgia",21501
13191,"McIntosh County, Georgia",14027
13193,"Macon County, Georgia",13976
13195,"Madison County, Georgia",28194
13197,"Marion County, Georgia",8580
13199,"Meriwether County, Georgia",21223
13201,"Miller County, Georgia",5899
13205,"Mitchell County, Georgia",22991
13207,"Monroe County, Georgia",26630
13209,"Montgomery County, Georgia",8957
13211,"Morgan County, Georgia",17678
13213,"Murray County, Georgia",39187
13215,"Muscogee County, Georgia",203198
13217,"Newton County, Georgia",102064
13219,"Oconee County, Georgia",34076
13221,"Oglethorpe County, Georgia",14417
13223,"Paulding County, Georgia",146750
13225,"Peach County, Georgia",27040
13227,"Pickens County, Georgia",29414
13229,"Pierce County, Georgia",19015
13231,"Pike County, Georgia",17773
13233,"Polk County, Georgia",40959
13235,"Pulaski County, Georgia",11567
