Case Number,Diagnos-tician,State,County,Area,Histo Number,Species,Year,No. Rec.,Sex,Age,Weight,Diagnosis,Other/Comments,Date Rec.,Date Final,Submitter,Agency,
194-17,Bahnson,SC,A: Hampton.  B: Hampton.  C: Greenville.  D: York,Unknown,W17-575 - W17-578,"A, B: Tri-Colored Bat. C: Silver-haired Bat.D: Big Brown Bat.",2017,4,"A, C: Male. B, D: Female.",Adult,A: 4.13 g. B: 4.0 g. C: 9.9 g. D: 13.1 g.,A-D: Suspect trauma,A: #SCBat21.  B: #SCBat22.  C.  #SCBat23.  D:  #SCBat24.  Pseudogymnoascus destructans (Pd) was not detected in any bat.,04/07/2017,05/09/2017,Kindel/Bunch,SCDNR,
365-19,Dugovich,GA,Floyd,"Hwy 100, Cave Spring",W19-775,A: Opossum. B: Crow,2019,2,A: Male. B: Unknown,A&B: Adult  ,A: 2.74 kg. B: NA,Opossum: Aldicarb toxicosis,Crow carcass was not necropsied due to severe postmortem desiccation.,07/17/19,09/17/19,Cox,GADNR,
065-19,Dalton,GA,Barrow,"Terrapin Lane, Winder",W19-446 - W19-450,"A: Red-winged Blackbird. B,C: Rusty Blackbird. D: Brown-headed Cowbird. E: American Robin.",2019,6,"A, D, E: Male. B, C: Female","A, B, D, E: Adult. C: Young adult",A: 58.6 g. B: 56.1 g. C: 47.5 g. D: 45.1 g. E: 78.0 g.,Trauma; no toxin detected,"Normal cholinesterase activity in birds A, B, C, and E. No toxins of significance were detected.  A necropsy was not performed on Bird F.",02/08/2019,03/27/19,Frazier,GADNR,
414-18,Niedringhaus,FL,Sarasota,Lido Key Beach,W19-120,"A: Ruddy Turnstone. B, C: Sanderling. D: Laughing Gull",2018,4,"A, C: Female. B, D: Male",A-C: Adult. D: Juvenile,A: 114.57 g. B: 40.86 g. C: 45.1 g. D: 250 g,A: Trauma. B-D: Undetermined,#180828. Avian influenza virus was not detected in any bird.,08/30/18,10/02/2018,Shender/Cunningham,FLFWCC,
429-19,Kunkel,FL,Manatee,Bradenton,W19-808,A: Snowy Egret.  B: American White Ibis,2019,2,A: Female. B: Male,A: Adult. B: Subadult,A: 0.308 kg. B: 0.863 kg,A&B: Undetermined,A: #190802-01.  B: #190802-02.  No Salmonella spp. And no arboviruses were isolated from either bird.,08/06/2019,10/09/2019,Shender ,FLFWCC,
233-18,Dalton,AR,Carroll,Bridge over Kenner Creek,"W18-536, W18-537",A: Tri-colored Bat. B: Gray Bat,2018,2,A: Female. B: Male.,Adult,A: 5.0 g. B: 3.0 g,A-B: Suspect trauma; fungal dermatitis; P. destructans not detected,Rabies testing was not possible due to postmortem autolysis.,06/07/2018,08/17/18,Sasse,ARGFC,
232-18,Dalton,AR,"A: Venton. B, G: Pulaski. C: Polk. D: Garland. E: Baxter. F: Faulkner. H, I: Saline. J: Clark. K, L: Washington.",,W18-534-W18-535,"A-B, D-G, J: Big Brown Bat. C: Eastern Small Footed Bat. H-I, L: Tri-colored Bat. K: Gray Bat",2018,12,"A-D, F-G: Male. E, H-L: Female.",Adult,A: 13.40 g. B: 13.70. C: 3.95 g. D: 10.29 g. E: 18.90 g. F: 13.36 g. G: 10.35 g. H: 4.90 g. I: 2.84 g. J: 12.75 g. K: 6.93 g. L: 5.72 g.,A-L: Pseudogymnoascus destructans not detected. B-H: Suspect trauma,A: 11886. B: 11544. C: 11571. D: 11583. E: 11592. F: 11596. G: 11663. H: 11840. I: 11858. J: 11884. K: 11887. L: 11892.,06/07/2018,08/17/18,Sasse,ARGFC,
397-19,Kunkel,WV,Pendleton,"38.45641, -79.29124; George Washington National Forest",W19-788,A-B: Spotted Salamander; C-I: Green Frog,2019,14,Unknown,A-B: Larvae. C-I: Tadpole,Unknown,G-I: Ranavirus detected.  C: Batrachochytrium dendrobatidis detected,Ranavirus was not detected in F.,07/30/19,09/23/19,Oxenrider,WVDNR,
757-17,Bryan,NC,Dare,Alligator River National Wildlife Refuge,-,"A-C, E-H: Northern Long-eared Bat. D: Tri-colored Bat",2017,8,"A, C-E, G-H: Male. B, F: Female",Adult,"A, C: 8g. B: 9.25 g. D: 6.75 g. E: 8.75 g. F: 8.5 g. G: 7.5 g. H: 8.25 g",A-H: Pseudogymnoascus destructans not detected,A: CC1451. B: NCDOT1630. C: CC1700. D: CC1689. E: CC2103. F: CC1453. G: CC1691. H: CC2107.,12/13/17,01/05/2018,Wetzel,Copperhead Env Const.,
348-14,Niedringhaus,NE,Unknown,Private ranch,-,American Bison,2014,1,Female,7 yrs,Unknown,Epizootic hemorrhagic disease virus (EHDV) and bluetongue virus (BTV) were not detected.,MVDL #9-288-15,11/04/2014,11/24/14,Marshall,MT VDL,
331-17,Niedringhaus,WV,B&C: Preston. D: Taylor. A: Tucker.,A: Limestone Road. B: Bruceton Mills. C: Little Buffalo Creek. D. River Run Road,-,American Black Bear,2017,4,"A, B, D: Male. C: Female",A&B: Yearling. C&D: Adult,A; 14 kg. B: 7.5 kg. C: 40.8 kg. C: 56.7 kg.,A-D: Sarcoptes scabiei detected,A: Tucker 02-17. B. Preston 03-17. C: Preston 04-17. D: Taylor 06-17,07/11/2017,07/18/17,Rauch,WVDNR,
423-19,Kunkel,GA,Murray,Ft. Mountain Wilderness View Cabins,W19-805,American Black Bear,2019,1,Male,Juvenile,18.49 kg,Fibrous cardiomyopathy,Rabies virus and canine distemper virus were not detected.,08/02/2019,10/01/2019,Hammond,GADNR,
267-17,Niedringhaus,PA,Butler,Fairview Township,W17-674,American Black Bear,2017,1,Male,Adult,84 kg,Sarcoptic mange,#17NW0022,06/01/2017,06/20/17,Coup/Brown,PAGC,
258-18,Niedringhaus,MO,Carter,"36.9275, -90.9031; Current River near VanBuren",W18-582,American Black Bear,2018,1,Male,~10-30 yrs,164 kg,Undetermined,#18080.  Severe autolysis may have masked subtle lesions.,06/19/18,07/13/18,Cordell/Russell,MODOC,
087-14,Fenton,GA,Madison,Danielsville,W14-59,American Crow; Barn Owl; Black Vulture; Blue Jay; Gray Fox; Mourning Dove; Opossum (2); Red-shouldered Hawk; Unidentified Hawk. ,2014,10,Both,"Adult, Unknown",0.08-3.40 kg,"A,C,G: Carbamate insecticide intoxication.  B,D,E,H,I,J: Exposure","Unidentified hawk, black vulture, and American crow tested positive.",03/07/2014,04/08/2014,Sartor,GADNR,
622-15,Ruder,FL,Brevard,Viara,"W16-358, W16-359",Anhinga,2015,2,Male,Adult,Unknown,A&B: Cause of death undetermined.  A&B: Intestinal coccidiosis.  B: Schistosomiasis,A: #151106-01. B: #151106-02,11/11/2015,02/02/2016,Clemons/Cunningham,FLFWCC,
190-18,Ruder,GA,Clarke,Whitehall Experimental Forest,W18-509,Armadillo,2018,1,Male,Juvenile,790 g,Emaciation,No other significant gross or microscopic necropsy findings.,05/17/18,06/22/18,Tiffin/Johannsen,GADNR,
557-16,Dalton,LA,Livingston,"Whispering Pines, DS",W17-200,Armadillo,2016,1,Male,Adult,3.58 kg,Eosinophilic meningitis due to Angiostrongylus catonensis (rat lungworm) migration,#Arm-30Sept16-Livingston,10/05/2016,11/21/16,Anderson/LaCour,LADWF,
257-17,Bryan,MO,Greene,Unknown,W17-684,Armadillo,2017,1,Male,Adult, 6 kg,Mycobacterium leprae and rabies virus not detected,#17093,05/23/17,07/07/2017,Batten/Russell,MODOC,
289-16,Elsmo,TN,Williamson,Franklin,W16-730,Armadillo,2016,1,Male,Adult,4.26 kg,Trauma,"Rabies virus, Mycobacterium spp., and arboviruses were not detected.",06/03/2016,07/06/2016,Applegate,TNWRA,
276-16,Bryan,HI,Maui,Lanai,W16-721,Axis Deer,2016,2,Both,"1 yr, 1.5 yr",Unknown,A: Mild encephalitis. A&B: Mild vasculitis of undetermined etiology,#160251. No evidence of rabies virus or herpes virus infection was detected.,05/25/16,08/02/2016,Odani,HDOA-VL,
912-19,Dugovich,AR,Pulaski,Unknown,W19-1136,"Bald Eagle, Vulture, Raccoon",2019,3,A-C: Unknown. ,A-C: Adult,A-C: Unknown,A-(Turkey vulture): Suspect trauma; anticoagulant rodenticide exposure (brodifacoum detected).  B-(Raccoon): Cause of death undetermined; rabies and distemper viruses not detected.  C-(Bald eagle): Cause of death undetermined,#AR2019-029 A-C.  Advanced postmortem decomposition of the raccoon and bald eagle carcasses.,11/27/19,01/15/20,Ballard,ARGFC,
290-17,Bryan,PR,Juana Diaz,Naranjo Cave,,Bat,2017,8,,,,Combined with CC17-246,,06/13/17,No final report,Vidal,PRDNR,
974-19,Radisic,SC,Lexington,"Hook Land Lane, Lexington",,Bat (Tadarida brasiliensis),2019,1,,,,,,12/20/19,,Kindel,SCDNR,
