GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0100000US,,United States,United States,308745538(r38234),131704730(r15031),3796742.23,264836.79,3531905.43,87.4,37.3
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,9687653(r41102),4088801(r17732),59425.15,1911.67,57513.49,168.4,71.1
0100000US,,United States,0500000US13001,13001,United States - Georgia - Appling County,Appling County,18236,8512,512.26,5.18,507.08,36.0,16.8
0100000US,,United States,0500000US13003,13003,United States - Georgia - Atkinson County,Atkinson County,8375,3522,344.53,5.15,339.38,24.7,10.4
0100000US,,United States,0500000US13005,13005,United States - Georgia - Bacon County,Bacon County,11096,4801,285.82,27.25,258.58,42.9,18.6
0100000US,,United States,0500000US13007,13007,United States - Georgia - Baker County,Baker County,3451,1652,349.14,7.19,341.94,10.1,4.8
0100000US,,United States,0500000US13009,13009,United States - Georgia - Baldwin County,Baldwin County,45720,20159,267.41,9.57,257.84,177.3,78.2
0100000US,,United States,0500000US13011,13011,United States - Georgia - Banks County,Banks County,18395,7595,233.89,1.80,232.09,79.3,32.7
0100000US,,United States,0500000US13013,13013,United States - Georgia - Barrow County,Barrow County,69367,26400,162.94,2.63,160.31,432.7,164.7
0100000US,,United States,0500000US13015,13015,United States - Georgia - Bartow County,Bartow County,100157,39823,470.11,10.57,459.54,217.9,86.7
0100000US,,United States,0500000US13017,13017,United States - Georgia - Ben Hill County,Ben Hill County,17634,7942,253.91,3.79,250.12,70.5,31.8
0100000US,,United States,0500000US13019,13019,United States - Georgia - Berrien County,Berrien County,19286,8709,457.88,5.99,451.90,42.7,19.3
0100000US,,United States,0500000US13021,13021,United States - Georgia - Bibb County,Bibb County,155547,69662,255.37,5.60,249.76,622.8,278.9
0100000US,,United States,0500000US13023,13023,United States - Georgia - Bleckley County,Bleckley County,13063,5304,219.13,3.26,215.87,60.5,24.6
0100000US,,United States,0500000US13025,13025,United States - Georgia - Brantley County,Brantley County,18411,8086,447.20,4.84,442.36,41.6,18.3
0100000US,,United States,0500000US13027,13027,United States - Georgia - Brooks County,Brooks County,16243,7706,497.80,4.75,493.05,32.9,15.6
0100000US,,United States,0500000US13029,13029,United States - Georgia - Bryan County,Bryan County,30233,11842,454.46,18.49,435.97,69.3,27.2
0100000US,,United States,0500000US13031,13031,United States - Georgia - Bulloch County,Bulloch County,70217,28794,688.63,15.82,672.81,104.4,42.8
