CaseNumber,State,County,Area,Species,CollectionYear,Sex,Age
48811,Pennsylvania,Unknown,Unknown,Black Bear,2011,Female,Unknown
10490,Georgia,Gordon,,Coyote,1990,F,Subadult
13685,Georgia,Morgan,Godfrey,Coyote,1985,F,Subadult
18887,Georgia,Telfair,,Coyote,1987,,
9710,Kansas,Crawford,Brazelton,Coyote,2010,Female,Adult
14512,Kansas,Lyon,1221 Road H,Coyote,2012,Female,Subadult; Adult
15208,Kansas,Lyon,Area Of Hwy 99 And State Road 80,Coyote,2008,Male,<2 months
11693,South Carolina,Aiken,Savannah River,Coyote,1993,M,Adult
10010,Arkansas,Clark,Mad 83 15 S: 0487260 E. 3753868,Gray Fox,2010,Male,Adult
3411,Florida,Clay,Camp Blanding,Gray Fox,2011,Female,Juvenile
4884,Florida,Santa Rosa,,Gray Fox,1984,M,Adult
5008,Florida,Columbia,Unknown,Gray Fox,2008,Female,Subadult
5404,Florida,Collier,Collierseminole State Park,Gray Fox,2004,Female,Adult
9090,Florida,Palm Beach,Delray,Gray Fox,1990,M,Adult
17691,Florida,Palm Beach,J.W. Corbett Wildlife Management Area,Gray Fox,1991,M,Subadult
23005,Florida,Collier,Cr951/Us41,Gray Fox,2005,Male,Juvenile
31508,Florida,Pinellas,Univ Of South Florida Botanical Garden,Gray Fox,2008,Male,Adult
277,Georgia,Oconee,Farmington,Gray Fox,1977,F,SUBADULT
378,Georgia,Hall,Dewberry Church,Gray Fox,1978,M,Adult
382,Georgia,Walton,County Line Road Near Alcovy Road,Gray Fox,1981,M,Adult
383,Georgia,Jasper,,Gray Fox,1982,M,SUBADULT
582,Georgia,Stephens,Lake Russell Wma,Gray Fox,1982,F,Subadult
592,Georgia,Habersham,Clarkesville,Gray Fox,1992,M,612 MO
605,Georgia,Dawson,"1818 Perimeter Dr., Dawsonville",Gray Fox,2005,Male,Adult
676,Georgia,Morgan,Madison,Gray Fox,1976,M,Adult
792,Georgia,Floyd,Mt. Berry,Gray Fox,1991,M,Adult
892,Georgia,Floyd,Rome,Gray Fox,1992,M,Adult
977,Georgia,Clarke,Highway 78 East,Gray Fox,1977,F,Adult
983,Georgia,White,,Gray Fox,1983,F,Adult
992,Georgia,Bartow,Pine Log,Gray Fox,1992,M,Adult
1191,Georgia,Madison,North Georgia Hunting Pen,Gray Fox,1991,M,Adult
1278,Georgia,Hall,4.7 Mi. Sw Of Clermont,Gray Fox,1978,F,Subadult
1292,Georgia,White,,Gray Fox,1992,M,Adult
1392,Georgia,White,,Gray Fox,1991,F,Adult
1409,Georgia,Richmond,"5974 Deans Bridge Rd, Blythe",Gray Fox,2009,Male,Adult
1584,Georgia,Wayne,,Gray Fox,1984,F,Adult
1589,Georgia,Morgan,Madison,Gray Fox,1989,M,Adult
1786,Georgia,Brantley,,Gray Fox,1985,F,Subadult
1877,Georgia,Clarke,Old Lexington Road,Gray Fox,1977,F,Adult
1976,Georgia,Jackson,Maysville,Gray Fox,1976,F,Adult
1977,Georgia,Oconee,Farmington,Gray Fox,1977,F,Adult
2077,Georgia,Clarke,,Gray Fox,1977,F,Adult
2492,Georgia,Oconee,,Gray Fox,1992,M,Adult
2591,Georgia,Gilmer,Big Creek Road,Gray Fox,1991,F,Adult
2677,Georgia,Clarke,Athens,Gray Fox,1977,F,Adult
2788,Georgia,White,Shoal Creek Communtity,Gray Fox,1988,F,Adult
2894,Georgia,Barrow,Bethlehem,Gray Fox,1994,M,Adult
2976,Georgia,Jackson,Route 1  Jefferson,Gray Fox,1976,M,Adult
2990,Georgia,Forsyth,,Gray Fox,1990,F,Adult
2993,Georgia,Candler,Metter,Gray Fox,1993,F,Adult
3001,Georgia,Hall,Walter Stover Road,Gray Fox,2001,Male,Young Adult
3083,Georgia,Gordon,,Gray Fox,1982,F,Adult
3098,Georgia,Candler,Metter,Gray Fox,1998,Male,Adult
3178,Georgia,Habersham,Clarkesville,Gray Fox,1978,M,Subadult
3188,Georgia,Effingham,,Gray Fox,1988,M,Adult
3494,Georgia,Evans,Claxton,Gray Fox,1994,F,Adult
3585,Georgia,Lumpkin,Ranger Camp,Gray Fox,1985,M,Adult
3795,Georgia,Chattoogna,Subligna,Gray Fox,1995,M,ADULT
3887,Georgia,Bartow,75 Rv Park Near Cartersville,Gray Fox,1987,F,Adult
3889,Georgia,Lumpkin,Tate Bridge Section,Gray Fox,1989,M,Adult
3985,Georgia,Hall,Gillsville Community,Gray Fox,1985,F,Adult
4293,Georgia,Henry,Mcdonough,Gray Fox,1993,F,Adult
4392,Georgia,Cherokee,,Gray Fox,1992,F,Adult
4487,Georgia,Oglethorpe,"Forbes Store, Route 77",Gray Fox,1987,M,SUBAD
4502,Georgia,Glynn,Ga Power Plant Mcmanus,Gray Fox,2002,Female,Adult
4575,Georgia,Jackson,Arcade,Gray Fox,1975,F,Adult
4679,Georgia,Elbert,8 Miles North Elberton,Gray Fox,1979,F,Adult
4778,Georgia,Gordon,,Gray Fox,1978,M,Adult
4798,Georgia,Ben Hill,Fitzgerald,Gray Fox,1998,Male,Adult
4984,Georgia,Jasper,,Gray Fox,1984,F,Adult
4987,Georgia,Chattooga,Lyerly,Gray Fox,1987,M,Adult
4990,Georgia,Gordon,,Gray Fox,1990,F,Adult
5087,Georgia,Gordon,,Gray Fox,1987,F,Adult
5178,Georgia,Gordon,Calhoun,Gray Fox,1978,M,Adult
5383,Georgia,White,,Gray Fox,1983,F,Adult
5493,Georgia,Wayne,Jesup,Gray Fox,1993,M,Adult
5684,Georgia,Brantley,,Gray Fox,1984,M,SUBADULT
5802,Georgia,Fayette,Peachtree Parkway And Waterwood Bend,Gray Fox,2002,Male,Adult
5875,Georgia,Walton,Hard Labor Creek State Park,Gray Fox,1975,M,Adult
5975,Georgia,Morgan,Monroe,Gray Fox,1975,M,Adult
5988,Georgia,Elbert,Rockbranch,Gray Fox,1988,M,Adult
6075,Georgia,Morgan,Madison,Gray Fox,1975,F,Adult
6286,Georgia,Walton,Campton Gratis Road,Gray Fox,1986,F,45 WK
6286,Georgia,Walton,Campton Gratis Road,Gray Fox,1986,M,45 WK
6485,Georgia,Floyd,,Gray Fox,1985,F,Adult
6687,Georgia,Rabun,Seed Lake,Gray Fox,1987,F,Adult
7195,Georgia,Stephens,Highway 17,Gray Fox,1995,M,Adult
7196,Georgia,Dawson,Amicalola State Park,Gray Fox,1996,F,Adult
7290,Georgia,Gwinnett,Loganville,Gray Fox,1990,M,Adult
7311,Georgia,Randolph,Near Shealy Pond Road,Gray Fox,2011,Female,Unknown
7583,Georgia,Lumpkin,,Gray Fox,1983,F,Adult
7591,Georgia,Oconee,Watkinsville,Gray Fox,1991,M,Adult
7593,Georgia,Hall,Gainesville,Gray Fox,1993,M,Adult
7688,Georgia,White,Duke'S Creek Farm,Gray Fox,1988,F,Adult
7689,Georgia,Lumpkin,Dahlonega,Gray Fox,1989,F,Adult
7885,Georgia,Walker,,Gray Fox,1985,F,Adult
8083,Georgia,Warren,Thomson District,Gray Fox,1983,F,Adult
8085,Georgia,Cherokee,Reinhardt College,Gray Fox,1985,F,Adult
8285,Georgia,Oconee,,Gray Fox,1985,F,Adult
8688,Georgia,Columbia,Martinez,Gray Fox,1988,F,Adult
9295,Georgia,Stephens,Toccoa,Gray Fox,1995,F,Adult
9383,Georgia,Cobb,Marietta,Gray Fox,1983,M,Subadult
9384,Georgia,Lumpkin,Chestatee Wma,Gray Fox,1984,M,SUBADULT
9483,Georgia,Cobb,Marietta,Gray Fox,1983,F,Subadult
10083,Georgia,Walker,,Gray Fox,1983,F,Adult
10278,Georgia,Floyd,,Gray Fox,1978,M,Adult
10283,Georgia,Walker,,Gray Fox,1983,M,Adult
10383,Georgia,Walker,Chickamauga,Gray Fox,1983,F,Adult
10587,Georgia,Madison,Paoli,Gray Fox,1987,F,Subadult
11392,Georgia,Floyd,,Gray Fox,1992,F,Adult
11492,Georgia,Floyd,Lindale,Gray Fox,1992,F,Adult
11587,Georgia,Clarke,Langford Road And Jimmy Daniels Road,Gray Fox,1987,M,Adult
11892,Georgia,Floyd,Mt. Berry,Gray Fox,1992,M,Adult
11987,Georgia,Walton,,Gray Fox,1987,M,SUBADULT
12190,Georgia,Gwinnett,Lake Lanier,Gray Fox,1990,F,Adult
12394,Georgia,Treutlen,Near I16,Gray Fox,1994,F,ADULT
12505,Georgia,Troup,Holiday Campground,Gray Fox,2005,Female,Adult
13286,Georgia,Long,Near Ludowici Highway 29,Gray Fox,1986,F,Subadult
13295,Georgia,Stephens,Toccoa,Gray Fox,1995,F,Adult
13581,Georgia,Clayton,College Park,Gray Fox,1981,F,Subadult
13690,Georgia,Troup/Meriwether/Harris,Pine Mountain,Gray Fox,1990,M,Adult
13788,Georgia,Madison,Shiloh Communitiy,Gray Fox,1988,F,Adult
13789,Georgia,Lumpkin,Dalhoveys,Gray Fox,1989,F,Adult
14286,Georgia,Oconee,P.E. Thomas Farm,Gray Fox,1986,M,Adult
14488,Georgia,Rabun,Tahoe Road  Golf Course,Gray Fox,1988,M,Adult
14586,Georgia,Oglethorpe,,Gray Fox,1986,F,Adult
14587,Georgia,Floyd,Rome,Gray Fox,1987,F,Adult
14883,Georgia,Wilkes,,Gray Fox,1983,M,Adult
15289,Georgia,Lumpkin,Rock House And Barney Fields Road,Gray Fox,1989,M,Adult
15583,Georgia,Brantley,,Gray Fox,1983,F,SUBADULT
15887,Georgia,Fulton,Medlock Bridge Subdivision,Gray Fox,1987,F,Adult
15999,Georgia,Rabun,Black Rock State Park,Gray Fox,1999,Female,Juvenile
16291,Georgia,Bartow,Kingston,Gray Fox,1991,F,SUBADULT
16291,Georgia,Whitfield,,Gray Fox,1991,F,Adult
